Station Name,Address,City,Postal Code,Region,Country,Latitude,Longitude,Location Details,Category
"SAFEWAY CALTEX ROSEBUD","1203 POINT NEPEAN ROAD","ROSEBUD","3939","VIC","AUSTRALIA",-38.3577,144.8992,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"STRATHMERTON ROADHOUSE","4972 MURRAY VALLEY HIGHWAY","STRATHMERTON","3641","VIC","AUSTRALIA",-35.925,145.5001,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"CALTEX YARRA GLEN","66 BELL STREET","YARRA GLEN","3775","VIC","AUSTRALIA",-37.654,145.3761,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"MOBIL NUMURKAH","2 TOCUMWAL ROAD","NUMURKAH","3636","VIC","AUSTRALIA",-36.0881,145.4428,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"CLAYTON","187-191 CLAYTON ROAD","CLAYTON","3166","VIC","AUSTRALIA",-37.9132,145.1217,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"SAFEWAY CALTEX DONCASTER EAST","987 DONCASTER ROAD","DONCASTER EAST","3109","VIC","AUSTRALIA",-37.7885,145.159,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"BP  BOX HILL SOUTH","891 CANTERBURY ROAD","BOX HILL","3128","VIC","AUSTRALIA",-37.8286,145.1222,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"MOBIL MILDURA","787-793 FIFTEENTH STREET","MILDURA","3500","VIC","AUSTRALIA",-34.2109,142.1422,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"CALTEX MORNINGTON","841 NEPEAN HIGHWAY","MORNINGTON","3931","VIC","AUSTRALIA",-38.2334,145.0392,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"CALTEX SAFEWAY CARNEGIE","147 KOORNANG ROAD","CARNEGIE","3163","VIC","AUSTRALIA",-37.8895,145.0566,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"CALTEX HAMILTON","79 COX STREET","HAMILTON","3300","VIC","AUSTRALIA",-37.7413,142.0267,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"WARRNAMBOOL","634 RAGLAN PARADE","WARRNAMBOOL","3280","VIC","AUSTRALIA",-38.3781,142.4825,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"CALTEX BENDIGO","51 SANDHURST ROAD","BENDIGO","3556","VIC","AUSTRALIA",-36.733,144.2646,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"COLES EXPRESS MARYBOROUGH","53-55 HIGH STREET","MARYBOROUGH","3465","VIC","AUSTRALIA",-37.0483,143.7349,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"MOBIL ST ARNAUD","1 MELBOURNE ROAD","ST ARNAUD","3478","VIC","AUSTRALIA",-36.6217,143.2654,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"CALTEX CORRYONG","1516 MURRAY VALLEY HIGHWAY","CORRYONG","3707","VIC","AUSTRALIA",-36.2028,147.8836,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"SAFEWAY CALTEX WARRAGUL","53 SMITH STREET","WARRAGUL","3820","VIC","AUSTRALIA",-38.1603,145.9317,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"COLES EXPRESS MULGRAVE","358 POLICE ROAD","NOBLE PARK NORTH","3174","VIC","AUSTRALIA",-37.938,145.1918,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"INDEPENDENT DARNUM","1 CROPLEY STREET","DARNUM","3822","VIC","AUSTRALIA",-38.1877,146.0032,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"CORNER","25 MAIN STREET","WELSHPOOL","3966","VIC","AUSTRALIA",-38.6651,146.4379,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"BP TECOMA","1524 BURWOOD HIGHWAY","TECOMA","3160","VIC","AUSTRALIA",-37.9066,145.3426,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"MOBIL LONGFORD","115 SEASPRAY ROAD","LONGFORD","3851","VIC","AUSTRALIA",-38.1842,147.0917,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"CALTEX BAIRNSDALE","322 MAIN STREET","BAIRNSDALE","3875","VIC","AUSTRALIA",-37.8271,147.6246,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"COLES EXPRESS ST KILDA","120-134 BARKLY STREET","ST KILDA","3182","VIC","AUSTRALIA",-37.8657,144.9818,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"MARIBYRNONG","32 RALEIGH ROAD","MARIBYRNONG","3032","VIC","AUSTRALIA",-37.7693,144.8975,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"BP BALLAN TRAVEL STOP","6498 WESTERN FREEWAY","BALLAN","3342","VIC","AUSTRALIA",-37.5907,144.2436,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"AMPOL LEXTON","3554 SUNRAYSIA HIGHWAY","LEXTON","3352","VIC","AUSTRALIA",-37.2743,143.5151,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"BP LITTLE RIVER GEELONG BOUND","20 POUSTIES ROAD","AVALON","3212","VIC","AUSTRALIA",-38.0031,144.4918,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"CALTEX WODONGA","4397 ANZAC PARADE","WODONGA","3690","VIC","AUSTRALIA",-36.135,146.9045,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"CALTEX GLEN WAVERLEY","262 SPRINGVALE ROAD","GLEN WAVERLEY","3150","VIC","AUSTRALIA",-37.88,145.1661,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"SAFEWAY CALTEX GLEN HUNTLY","923 GLEN HUNTLY ROAD","CAULFIELD","3162","VIC","AUSTRALIA",-37.8876,145.0292,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"COLES EXPRESS ABBOTSFORD","266 HODDLE STREET","ABBOTSFORD","3067","VIC","AUSTRALIA",-37.7982,144.9937,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"COLES EXPRESS FLEMINGTON","291-309 SMITHFIELD ROAD","KENSINGTON","3031","VIC","AUSTRALIA",-37.7921,144.9187,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"PAT & TINA","176 NUMURKAH ROAD","SHEPPARTON","3630","VIC","AUSTRALIA",-36.3542,145.4015,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"CALTEX CLAYTON","409 CLAYTON ROAD","CLAYTON","3168","VIC","AUSTRALIA",-37.9283,145.1188,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"CALTEX SOMERTON","2-4 SOMERTON PARK DRIVE","CAMPBELLFIELD","3061","VIC","AUSTRALIA",-37.6432,144.946,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"UNITED SOMERTON","132-136 SOMERTON ROAD","SOMERTON","3062","VIC","AUSTRALIA",-37.6414,144.9385,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"COLES EXPRESS KOONUNG","187 HIGH STREET","TEMPLESTOWE LOWER","3107","VIC","AUSTRALIA",-37.774,145.1135,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"INDEPENDENT TRARALGON SOUTH","25 KEITH MORGAN DRIVE","TRARALGON SOUTH","3844","VIC","AUSTRALIA",-38.2978,146.542,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"CALTEX WODONGA","177 LAWRENCE STREET","WODONGA","3690","VIC","AUSTRALIA",-36.1248,146.8888,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"BP  CALDER INBOUND","1262 CALDER FREEWAY","KEILOR NORTH","3036","VIC","AUSTRALIA",-37.6652,144.7537,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"COLES EXPRESS GLADSTONE PARK","210 MICKLEHAM ROAD","GLADSTONE PARK","3043","VIC","AUSTRALIA",-37.6868,144.883,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"CALTEX STRATHMERTON","47-49 MAIN STREET","STRATHMERTON","3641","VIC","AUSTRALIA",-35.9251,145.4786,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"SPRINGVALE","792-806 HEATHERTON ROAD","SPRINGVALE","3172","VIC","AUSTRALIA",-37.9616,145.1437,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"MOBIL COBDEN","1236 CAMPERDOWN-COBDEN ROAD","COBDEN","3266","VIC","AUSTRALIA",-38.3203,143.0797,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"SAFEWAY CALTEX YARRAWONGA","156 BELMORE STREET","YARRAWONGA","3730","VIC","AUSTRALIA",-36.0153,146.0049,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"MOBIL MOOROODUC","1051 MOOROODUC HIGHWAY","MOOROODUC","3933","VIC","AUSTRALIA",-38.2585,145.0776,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"SAFEWAY CALTEX TRARALGON","1 SEYMOUR STREET","TRARALGON","3844","VIC","AUSTRALIA",-38.1969,146.5405,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"INDEPENDENT TARWIN LOWER","49-51 RIVER DRIVE","TARWIN LOWER","3956","VIC","AUSTRALIA",-38.7013,145.8686,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"SAFEWAY CALTEX PRESTON","340 MURRAY ROAD","PRESTON","3072","VIC","AUSTRALIA",-37.7374,145.0018,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"BP OUYEN FUEL AND FOOD","1 FARRELL STREET","OUYEN","3490","VIC","AUSTRALIA",-35.071,142.3194,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"SAFEWAY CALTEX ENDEAVOUR HILLS","7 JERSEY CLOSE","ENDEAVOUR HILLS","3802","VIC","AUSTRALIA",-37.9762,145.2609,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"COLES EXPRESS PAKENHAM","885 PRINCES HIGHWAY","PAKENHAM","3810","VIC","AUSTRALIA",-38.062,145.459,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"SAFEWAY CALTEX RINGWOOD","379 MAROONDAH HIGHWAY","RINGWOOD","3134","VIC","AUSTRALIA",-37.8051,145.244,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"CALTEX AVENEL","54 JONES STREET","AVENEL","3664","VIC","AUSTRALIA",-36.9075,145.2396,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"INDEPENDENT WALWA","54 MAIN STREET","WALWA","3709","VIC","AUSTRALIA",-35.9642,147.7368,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"BP CLAYTON SOUTH","729 HEATHERTON ROAD","CLAYTON SOUTH","3169","VIC","AUSTRALIA",-37.9602,145.1363,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"WANTIRNA SOUTH","401 BURWOOD HIGHWAY","WNATIRNA SOUTH","3152","VIC","AUSTRALIA",-37.8686,145.2361,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"COLES EXPRESS BALWYN","449 WHITEHORSE ROAD","BALWYN","3103","VIC","AUSTRALIA",-37.813,145.086,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"ORBOST","89 SALISBURY STREET","ORBOST","3888","VIC","AUSTRALIA",-37.7056,148.4645,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"SAFEWAY CALTEX SHEPPARTON EAST","106 BENALLA ROAD","SHEPPARTON","3630","VIC","AUSTRALIA",-36.3867,145.4239,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"COLES EXPRESS DAYLESFORD","47 RAGLAN STREET","DAYLESFORD","3460","VIC","AUSTRALIA",-37.3396,144.1467,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"CALTEX IRYMPLE","2090 FIFTEENTH STREET","IRYMPLE","3498","VIC","AUSTRALIA",-34.2314,142.1653,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"SUNBURY","47 GAP ROAD","SUNBURY","3429","VIC","AUSTRALIA",-37.5798,144.7217,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"ALPINE","233 MYRTLE STREET","MYRTLEFORD","3737","VIC","AUSTRALIA",-36.5565,146.716,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"INDEPENDENT LOCH","29 VICTORIA ROAD","LOCH","3945","VIC","AUSTRALIA",-38.3684,145.7063,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"COLES EXPRESS ANGLESEA","107 GREAT OCEAN ROAD","ANGLESEA","3230","VIC","AUSTRALIA",-38.4086,144.1862,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"BP 2GO TALLY HO","510 HIGHBURY ROAD","GLEN WAVERLEY","3150","VIC","AUSTRALIA",-37.8603,145.151,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"CALTEX GISBORNE","7 HAMILTON STREET","GISBORNE","3437","VIC","AUSTRALIA",-37.4886,144.5926,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"CALTEX SWAN REACH","2048 PRINCES HIGHWAY","SWAN REACH","3903","VIC","AUSTRALIA",-37.8228,147.8599,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"BAYSWATER","477 DORSET ROAD","BAYSWATER","3153","VIC","AUSTRALIA",-37.835,145.2868,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"SHELL BYRNESIDE","5389 MIDLAND HIGHWAY","BYRNESIDE","3617","VIC","AUSTRALIA",-36.4204,145.1745,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"KINGSTON GARAGE","61 KINGSTON ROAD","HEATHERTON","3202","VIC","AUSTRALIA",-37.9538,145.085,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"ST ALBANS NORTH","33-37 TAYLORS ROAD","ST ALBANS","3021","VIC","AUSTRALIA",-37.7295,144.8104,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"BP BALACLAVA","308 CARLISLE STREET","BALACLAVA","3183","VIC","AUSTRALIA",-37.8687,144.9947,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"COLES EXPRESS SPOTSWOOD","642 MELBOURNE ROAD","SPOTSWOOD","3015","VIC","AUSTRALIA",-37.8276,144.8814,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"CALTEX SEBASTOPOL","76 ALBERT STREET","SEBASTOPOL","3356","VIC","AUSTRALIA",-37.5886,143.8405,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"MOBIL COWES","124 THOMPSON AVENUE","COWES","3922","VIC","AUSTRALIA",-38.4533,145.2386,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"SUPERSTOCK AUTO","94 MOORE STREET","MOE","3825","VIC","AUSTRALIA",-38.166,146.2625,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"SAFEWAY CALTEX KEYSBOROUGH","745-751 SPRINGVALE ROAD","KEYSBOROUGH","3173","VIC","AUSTRALIA",-37.9865,145.1461,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"WARNERS","163 LLOYD STREET","DIMBOOLA","3414","VIC","AUSTRALIA",-36.4494,142.0231,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"FAIRFIELD","324 STATION STREET","FAIRFIELD","3078","VIC","AUSTRALIA",-37.7657,145.0201,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"WOODSIDE","66 HIGH STREET","WOODSIDE","3874","VIC","AUSTRALIA",-38.5243,146.8746,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"MOBIL COHUNA","183 KING GEORGE STREET","COHUNA","3568","VIC","AUSTRALIA",-35.7995,144.2126,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"YALLAMBIE","371 LOWER PLENTY ROAD","YALLAMBIE","3085","VIC","AUSTRALIA",-37.7311,145.0857,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"MOBIL MORWELL","271-275 PRINCES DRIVE","MORWELL","3840","VIC","AUSTRALIA",-38.2382,146.4054,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"INDEPENDENT WANGARATTA","73-75 GRETA ROAD","WANGARATTA","3677","VIC","AUSTRALIA",-36.3699,146.3136,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"CALTEX WALLAN","130-132 HIGH STREET","WALLAN","3756","VIC","AUSTRALIA",-37.4089,144.9804,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"CALTEX COBDEN","1 CURDIE STREET","COBDEN","3266","VIC","AUSTRALIA",-38.3291,143.0796,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"OFFICER","397-401 PRINCES HIGHWAY","OFFICER","3809","VIC","AUSTRALIA",-38.0592,145.4066,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"ROBERT COX MOTORS","51 HIGH STREET","MALDON","3463","VIC","AUSTRALIA",-36.9985,144.0682,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
