X,Y,objectid,feature_type,industry_id,station_name,station_owner,station_description,station_address,station_suburb,station_postcode,station_state,operational_status,spatial_confidence,gnaf_assignment_method,station_revised_date,gnaf_formatted_address,gnaf_address_detail_pid,gnaf_confidence,gnaf_suburb,gnaf_postcode,distance_to_gnaf
145.233606,-37.8775189999999,2759,PETROL STATION,,COLES EXPRESS WANTIRNA SOUTH,SHELL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,435 STUD ROAD,WANTIRNA SOUTH,3152,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,435 STUD ROAD,GAVIC422326166,1,WANTIRNA SOUTH,3152,33.70000076
145.036426,-37.9031639999999,2760,PETROL STATION,,COLES EXPRESS ORMOND,SHELL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,423 NORTH ROAD,ORMOND,3204,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,423 NORTH ROAD,GAVIC419630840,1,ORMOND,3204,20.5
145.055387,-37.9650609999999,2762,PETROL STATION,,CALTEX SAFEWAY CHELTENHAM,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,299 CHARMAN ROAD,CHELTENHAM,3192,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,299 CHARMAN ROAD,GAVIC419671705,0,CHELTENHAM,3192,18.29999924
145.123475,-37.6785829999999,2763,PETROL STATION,,SAFEWAY CALTEX DIAMOND CREEK,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,307 DIAMOND CREEK ROAD,PLENTY,3090,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,307 DIAMOND CREEK ROAD,GAVIC412104855,1,PLENTY,3090,25.29999924
144.899178,-38.357651,2764,PETROL STATION,,SAFEWAY CALTEX ROSEBUD,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,1203 POINT NEPEAN ROAD,ROSEBUD,3939,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,1203 POINT NEPEAN ROAD,GAVIC420744694,0,ROSEBUD,3939,12.5
145.376107,-37.654033,2766,PETROL STATION,,CALTEX YARRA GLEN,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,66 BELL STREET,YARRA GLEN,3775,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,66 BELL STREET,GAVIC421062235,1,YARRA GLEN,3775,28.89999962
145.1216721,-37.9131950999999,2768,PETROL STATION,,CLAYTON,7-ELEVEN PTY LTD,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,187-191 CLAYTON ROAD,CLAYTON,3166,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,13/07/2012,187-191 CLAYTON ROAD,GAVIC421938597,2,OAKLEIGH EAST,3166,27.79999924
145.158966,-37.788541,2769,PETROL STATION,,SAFEWAY CALTEX DONCASTER EAST,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,987 DONCASTER ROAD,DONCASTER EAST,3109,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,987 DONCASTER ROAD,GAVIC420424852,1,DONCASTER EAST,3109,4.0999999
145.12216,-37.828591,2770,PETROL STATION,3828,BP  BOX HILL SOUTH,BP,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,891 CANTERBURY ROAD,BOX HILL,3128,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,891 CANTERBURY ROAD,GAVIC413387509,0,BOX HILL,3128,4.80000019
145.039178,-38.2333629999999,2772,PETROL STATION,,CALTEX MORNINGTON,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,841 NEPEAN HIGHWAY,MORNINGTON,3931,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,841 NEPEAN HIGHWAY,GAVIC420184268,1,MORNINGTON,3931,18
145.056575,-37.8894759999999,2773,PETROL STATION,,CALTEX SAFEWAY CARNEGIE,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,147 KOORNANG ROAD,CARNEGIE,3163,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,147 KOORNANG ROAD,GAVIC419634287,1,CARNEGIE,3163,22.60000038
145.931718,-38.1603479999999,2780,PETROL STATION,,SAFEWAY CALTEX WARRAGUL,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,53 SMITH STREET,WARRAGUL,3820,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,53 SMITH STREET,GAVIC420595868,1,WARRAGUL,3820,15.5
145.191815,-37.938036,2781,PETROL STATION,,COLES EXPRESS MULGRAVE,SHELL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,358 POLICE ROAD,NOBLE PARK NORTH,3174,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,358 POLICE ROAD,GAVIC421665240,0,NOBLE PARK NORTH,3174,33.59999847
145.342644,-37.906622,2784,PETROL STATION,119,BP TECOMA,BP,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,1524 BURWOOD HIGHWAY,TECOMA,3160,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,1524 BURWOOD HIGHWAY,GAVIC420167185,2,TECOMA,3160,19.39999962
144.981795,-37.8656579999999,2787,PETROL STATION,,COLES EXPRESS ST KILDA,SHELL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,120-134 BARKLY STREET,ST KILDA,3182,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,120-134 BARKLY STREET,GAVIC423058177,1,ST KILDA,3182,8.69999981
144.897451,-37.7693149999999,2788,PETROL STATION,,MARIBYRNONG,7-ELEVEN PTY LTD,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,32 RALEIGH ROAD,MARIBYRNONG,3032,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,13/07/2012,32 RALEIGH ROAD,GAVIC420100457,0,MARIBYRNONG,3032,28.20000076
144.243616,-37.590739,2789,PETROL STATION,2225,BP BALLAN TRAVEL STOP,BP,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,6498 WESTERN FREEWAY,BALLAN,3342,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,6498 WESTERN FREEWAY,GAVIC423500089,0,BALLAN,3342,0.1
144.491758,-38.003095,2791,PETROL STATION,4117,BP LITTLE RIVER GEELONG BOUND,BP,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,20 POUSTIES ROAD,AVALON,3212,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,20 POUSTIES ROAD,GAVIC420042375,0,AVALON,3212,45.59999847
145.16606,-37.879968,2793,PETROL STATION,,CALTEX GLEN WAVERLEY,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,262 SPRINGVALE ROAD,GLEN WAVERLEY,3150,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,262 SPRINGVALE ROAD,GAVIC420036504,0,GLEN WAVERLEY,3150,37.5
145.029174,-37.887615,2794,PETROL STATION,,SAFEWAY CALTEX GLEN HUNTLY,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,923 GLEN HUNTLY ROAD,CAULFIELD,3162,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,923 GLEN HUNTLY ROAD,GAVIC413680488,0,CAULFIELD,3162,7.4000001
144.99368,-37.798232,2795,PETROL STATION,,COLES EXPRESS ABBOTSFORD,SHELL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,266 HODDLE STREET,ABBOTSFORD,3067,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,266 HODDLE STREET,GAVIC413109829,0,ABBOTSFORD,3067,0
144.918735,-37.7921479999999,2796,PETROL STATION,,COLES EXPRESS FLEMINGTON,SHELL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,291-309 SMITHFIELD ROAD,KENSINGTON,3031,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,291-309 SMITHFIELD ROAD,GAVIC423837430,0,KENSINGTON,3031,7.19999981
145.11876,-37.928279,2798,PETROL STATION,,CALTEX CLAYTON,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,409 CLAYTON ROAD,CLAYTON,3168,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,409 CLAYTON ROAD,GAVIC421502876,1,CLAYTON,3168,14.30000019
144.946031,-37.643221,2799,PETROL STATION,,CALTEX SOMERTON,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,2-4 SOMERTON PARK DRIVE,CAMPBELLFIELD,3061,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,2-4 SOMERTON PARK DRIVE,GAVIC420222235,1,CAMPBELLFIELD,3061,19.39999962
144.938545,-37.641422,2800,PETROL STATION,,UNITED SOMERTON,UNITED,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,132-136 SOMERTON ROAD,SOMERTON,3062,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,132-136 SOMERTON ROAD,GAVIC420824421,1,SOMERTON,3062,8.69999981
145.113505,-37.773992,2801,PETROL STATION,,COLES EXPRESS KOONUNG,SHELL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,187 HIGH STREET,TEMPLESTOWE LOWER,3107,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,187 HIGH STREET,GAVIC413289826,0,TEMPLESTOWE LOWER,3107,25.29999924
144.7537,-37.665244,2804,PETROL STATION,4187,BP  CALDER INBOUND,BP,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,1262 CALDER FREEWAY,KEILOR NORTH,3036,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,1262 CALDER FREEWAY,GAVIC424612710,0,KEILOR NORTH,3036,57
144.883015,-37.686792,2805,PETROL STATION,,COLES EXPRESS GLADSTONE PARK,SHELL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,210 MICKLEHAM ROAD,GLADSTONE PARK,3043,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,210 MICKLEHAM ROAD,GAVIC422411515,0,GLADSTONE PARK,3043,1.39999998
145.1436811,-37.9616081,2807,PETROL STATION,,SPRINGVALE,7-ELEVEN PTY LTD,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,792-806 HEATHERTON ROAD,SPRINGVALE,3172,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,13/07/2012,792-806 HEATHERTON ROAD,GAVIC421632481,1,SPRINGVALE SOUTH,3172,25
145.077553,-38.258499,2810,PETROL STATION,,MOBIL MOOROODUC,7-ELEVEN PTY LTD,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,1051 MOOROODUC HIGHWAY,MOOROODUC,3933,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,13/07/2012,1051 MOOROODUC HIGHWAY,GAVIC420198840,0,MOOROODUC,3933,32.79999924
146.540545,-38.196874,2811,PETROL STATION,,SAFEWAY CALTEX TRARALGON,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,1 SEYMOUR STREET,TRARALGON,3844,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,1 SEYMOUR STREET,GAVIC414677082,0,TRARALGON,3844,25.20000076
145.001775,-37.737448,2813,PETROL STATION,,SAFEWAY CALTEX PRESTON,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,340 MURRAY ROAD,PRESTON,3072,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,340 MURRAY ROAD,GAVIC413138405,1,PRESTON,3072,15.5
145.260939,-37.976188,2815,PETROL STATION,,SAFEWAY CALTEX ENDEAVOUR HILLS,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,7 JERSEY CLOSE,ENDEAVOUR HILLS,3802,VIC,OPERATIONAL,1,GNAF ADDRESS MATCH,25/07/2011,7 JERSEY CLOSE,GAVIC420921157,2,ENDEAVOUR HILLS,3802,63.20000076
145.459043,-38.062014,2816,PETROL STATION,,COLES EXPRESS PAKENHAM,SHELL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,885 PRINCES HIGHWAY,PAKENHAM,3810,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,885 PRINCES HIGHWAY,GAVIC421835780,1,PAKENHAM,3810,36.20000076
145.244011,-37.8050959999999,2817,PETROL STATION,,SAFEWAY CALTEX RINGWOOD,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,379 MAROONDAH HIGHWAY,RINGWOOD,3134,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,379 MAROONDAH HIGHWAY,GAVIC412190131,1,RINGWOOD,3134,29.29999924
145.136272,-37.960202,2820,PETROL STATION,6845,BP CLAYTON SOUTH,BP,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,729 HEATHERTON ROAD,CLAYTON SOUTH,3169,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,729 HEATHERTON ROAD,GAVIC411132839,0,CLAYTON SOUTH,3169,21.79999924
145.2360631,-37.8686311,2821,PETROL STATION,,WANTIRNA SOUTH,7-ELEVEN PTY LTD,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,401 BURWOOD HIGHWAY,WNATIRNA SOUTH,3152,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,13/07/2012,401 BURWOOD HIGHWAY,GAVIC422280962,1,WANTIRNA SOUTH,3152,29.20000076
145.085996,-37.8129539999999,2822,PETROL STATION,,COLES EXPRESS BALWYN,SHELL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,449 WHITEHORSE ROAD,BALWYN,3103,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,449 WHITEHORSE ROAD,GAVIC421688836,0,BALWYN,3103,33.5
144.721682542,-37.5798346939999,2827,PETROL STATION,,SUNBURY,UNITED,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,47 GAP ROAD,SUNBURY,3429,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,47 GAP ROAD,GAVIC420834390,1,SUNBURY,3429,2
145.151024,-37.8602519999999,2831,PETROL STATION,548,BP 2GO TALLY HO,BP,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,510 HIGHBURY ROAD,GLEN WAVERLEY,3150,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,510 HIGHBURY ROAD,GAVIC413591310,0,GLEN WAVERLEY,3150,30.70000076
145.286817767,-37.835014826,2834,PETROL STATION,,BAYSWATER,UNITED,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,477 DORSET ROAD,BAYSWATER,3153,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,477 DORSET ROAD,GAVIC413633604,2,BAYSWATER,3153,30.60000038
145.084992,-37.953817,2836,PETROL STATION,,KINGSTON GARAGE,SHELL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,61 KINGSTON ROAD,HEATHERTON,3202,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,61 KINGSTON ROAD,GAVIC421932310,0,HEATHERTON,3202,16.29999924
144.8104041,-37.7294891,2837,PETROL STATION,,ST ALBANS NORTH,7-ELEVEN PTY LTD,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,33-37 TAYLORS ROAD,ST ALBANS,3021,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,13/07/2012,33-37 TAYLORS ROAD,GAVIC420751603,1,ST ALBANS,3021,14.19999981
144.994702,-37.8687399999999,2838,PETROL STATION,3666,BP BALACLAVA,BP,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,308 CARLISLE STREET,BALACLAVA,3183,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,308 CARLISLE STREET,GAVIC419802534,1,BALACLAVA,3183,2.5
144.881443,-37.8276329999999,2839,PETROL STATION,,COLES EXPRESS SPOTSWOOD,SHELL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,642 MELBOURNE ROAD,SPOTSWOOD,3015,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,642 MELBOURNE ROAD,GAVIC420796663,0,SPOTSWOOD,3015,6.80000019
145.146142,-37.9864519999999,2843,PETROL STATION,,SAFEWAY CALTEX KEYSBOROUGH,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,745-751 SPRINGVALE ROAD,KEYSBOROUGH,3173,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,745-751 SPRINGVALE ROAD,GAVIC423235248,1,KEYSBOROUGH,3173,37.40000153
145.0200951,-37.7656971,2845,PETROL STATION,,FAIRFIELD,7-ELEVEN PTY LTD,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,324 STATION STREET,FAIRFIELD,3078,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,13/07/2012,324 STATION STREET,GAVIC421419518,1,FAIRFIELD,3078,2.70000005
145.0856781,-37.7310891,2848,PETROL STATION,,YALLAMBIE,7-ELEVEN PTY LTD,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,371 LOWER PLENTY ROAD,YALLAMBIE,3085,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,13/07/2012,371 LOWER PLENTY ROAD,GAVIC421077966,1,VIEWBANK,3084,9.80000019
144.980376,-37.40887,2851,PETROL STATION,,CALTEX WALLAN,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,130-132 HIGH STREET,WALLAN,3756,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,130-132 HIGH STREET,GAVIC421208269,1,WALLAN,3756,18.10000038
145.4066051,-38.0592091,2853,PETROL STATION,,OFFICER,7-ELEVEN PTY LTD,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,397-401 PRINCES HIGHWAY,OFFICER,3809,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,13/07/2012,397-401 PRINCES HIGHWAY,GAVIC419893650,1,OFFICER,3809,10.19999981
144.819028,-37.819497,2855,PETROL STATION,,CALTEX LAVERTON NORTH,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,29-31 LITTLE BOUNDARY ROAD,LAVERTON NORTH,3026,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,29-31 LITTLE BOUNDARY ROAD,GAVIC419911761,2,LAVERTON NORTH,3026,42
144.316497,-38.329199,2856,PETROL STATION,,CALTEX TORQUAY,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,55 GEELONG ROAD,TORQUAY,3228,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,55 GEELONG ROAD,GAVIC423216382,0,TORQUAY,3228,3.0999999
144.574738,-37.7026949999999,2857,PETROL STATION,,COLES EXPRESS MELTON SOUTH,SHELL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,1-9 STATION ROAD,MELTON SOUTH,3338,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,1-9 STATION ROAD,GAVIC421830972,1,MELTON SOUTH,3338,11.5
144.859741,-37.75594,2858,PETROL STATION,,CALTEX AVONDALE HEIGHTS,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,160 MILITARY ROAD,AVONDALE HEIGHTS,3034,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,160 MILITARY ROAD,GAVIC420766511,1,AVONDALE HEIGHTS,3034,22.20000076
144.944969487,-37.7596567589999,2860,PETROL STATION,,BRUNSWICK WEST MELVILLE ,UNITED,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,134-136 MELVILLE ROAD,BRUNSWICK WEST,3055,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,134-136 MELVILLE ROAD,GAVIC420118957,0,BRUNSWICK WEST,3055,7
145.110928,-37.8160789999999,2861,PETROL STATION,,CALTEX SAFEWAY BOX HILL,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,793-797 WHITEHORSE ROAD,BOX HILL,3127,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,793-797 WHITEHORSE ROAD,GAVIC421008679,1,MONT ALBERT,3127,35.20000076
