id,Station Name,Address,City,Postal Code,Region,Latitude,Longitude,Category,Fuel Prices,Location Details,brand
220,BP  CHADSTONE,716-720 WARRIGAL ROAD,CHADSTONE,3145,VIC,-37.8800,145.0900,PETROL STATION,,CHADSTONE,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
190,BP  DEER PARK,1001-1007 WESTERN HIGHWAY,DEER PARK,3023,VIC,-37.7600,144.7500,PETROL STATION,,DEER PARK,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
160,BP  DOVETON,60-64 PRINCES HIGHWAY,DOVETON,3177,VIC,-38.0000,145.2500,PETROL STATION,,DOVETON,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
194,BP  DROMANA,1 MARINE DRIVE,SAFTEY BEACH,3936,VIC,-38.3300,144.9800,PETROL STATION,,SAFTEY BEACH,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
236,BP  FAIRFIELD,490-500 HEIDELBERG ROAD,FAIRFIELD,3078,VIC,-37.7800,145.0200,PETROL STATION,,FAIRFIELD,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
137,BP  FERNTREE GULLY,855 BURWOOD HIGHWAY,FERNTREE GULLY,3156,VIC,-37.8800,145.2800,PETROL STATION,,FERNTREE GULLY,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
181,BP  FITZROY,143-153 JOHNSTON STREET,FITZROY NORTH,3065,VIC,-37.8000,144.9800,PETROL STATION,,FITZROY NORTH,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
230,BP  GLEN IRIS,44-56 HIGH STREET,GLEN IRIS,3146,VIC,-37.8600,145.0700,PETROL STATION,,GLEN IRIS,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
197,BP  HEIDELBERG WEST,184 BELL STREET,HEIDELBERG HEIGHTS,3081,VIC,-37.7500,145.0500,PETROL STATION,,HEIDELBERG HEIGHTS,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
228,BP  KEW EAST,1399 BURKE ROAD,KEW EAST,3102,VIC,-37.7900,145.0600,PETROL STATION,,KEW EAST,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
243,BP  KINGSBURY,917-929 PLENTY ROAD,KINGSBURY,3083,VIC,-37.7200,145.0400,PETROL STATION,,KINGSBURY,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
234,BP  NORLANE,298-304 PRINCES HIGHWAY,CORIO,3214,VIC,-38.0800,144.3700,PETROL STATION,,CORIO,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
208,BP  NORTH COBURG,989 SYDNEY ROAD,COBURG,3058,VIC,-37.7300,144.9600,PETROL STATION,,COBURG,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
668,BP  NORTH COBURG,989 SYDNEY ROAD,COBURG,3058,VIC,-37.7300,144.9600,PETROL STATION,,COBURG,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
232,BP  PRESTON,408 BELL STREET,PRESTON,3072,VIC,-37.7400,145.0000,PETROL STATION,,PRESTON,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
135,BP  SPRINGVALE SOUTH,580-582 SPRINGVALE ROAD,SPRINGVALE SOUTH,3172,VIC,-37.9800,145.1500,PETROL STATION,,SPRINGVALE SOUTH,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
249,BP  SUNBURY,49-51 HORNE STREET,SUNBURY,3429,VIC,-37.5800,144.7300,PETROL STATION,,SUNBURY,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
248,BP  SUNSHINE,139 MCINTYRE ROAD,SUNSHINE NORTH,3020,VIC,-37.7700,144.8300,PETROL STATION,,SUNSHINE NORTH,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
153,BP  TEMPLESTOWE,2-4 UNION STREET,TEMPLESTOWE LOWER,3107,VIC,-37.7600,145.1100,PETROL STATION,,TEMPLESTOWE LOWER,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
178,BP  THOMASTOWN - KEON PARADE,72 KEON PARADE,THOMASTOWN,3074,VIC,-37.7000,145.0200,PETROL STATION,,THOMASTOWN,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
222,BP  WANTIRNA SOUTH,444 STUD ROAD,WANTIRNA SOUTH,3152,VIC,-37.8800,145.2300,PETROL STATION,,WANTIRNA SOUTH,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
176,BP 2GO BRIGHTON,601 HAMPTON STREET,BRIGHTON,3186,VIC,-37.9300,145.0000,PETROL STATION,,BRIGHTON,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
161,BP 2GO DIAMOND CREEK,274 DIAMOND CREEK ROAD,DIAMOND CREEK,3089,VIC,-37.6800,145.1200,PETROL STATION,,DIAMOND CREEK,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
221,BP 2GO MELTON,431-437 HIGH STREET,MELTON,3337,VIC,-37.6800,144.5800,PETROL STATION,,MELTON,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
120,BP 2GO NORTH BALLARAT,702 CRESWICK ROAD,BALLARAT,3350,VIC,-37.5400,143.8500,PETROL STATION,,BALLARAT,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
130,BP 2GO TALLY HO,510 HIGHBURY ROAD,GLEN WAVERLEY,3150,VIC,-37.8600,145.1500,PETROL STATION,,GLEN WAVERLEY,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
224,BP 2GO WATSONIA,51-63 WATSONIA ROAD,WATSONIA,3087,VIC,-37.7100,145.0800,PETROL STATION,,WATSONIA,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
239,BP 2GO WESTERN HIGHWAY,9401 WESTERN HIGHWAY,WARRENHEIP,3352,VIC,-37.5600,143.9300,PETROL STATION,,WARRENHEIP,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
149,BP BAIRNSDALE,432 MAIN STREET,BAIRNSDALE,3875,VIC,-37.8300,147.6100,PETROL STATION,,BAIRNSDALE,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
131,BP BALACLAVA,308 CARLISLE STREET,BALACLAVA,3183,VIC,-37.8700,144.9900,PETROL STATION,,BALACLAVA,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
124,BP BALLAN TRAVEL STOP,6498 WESTERN FREEWAY,BALLAN,3342,VIC,-37.5900,144.2400,PETROL STATION,,BALLAN,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
449,BP BENTLEIGH,58 PATTERSON ROAD,BENTLEIGH,3204,VIC,-37.9300,145.0300,PETROL STATION,,BENTLEIGH,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
146,BP BERWICK,276 CLYDE ROAD,BERWICK,3806,VIC,-38.0600,145.3400,PETROL STATION,,BERWICK,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
225,BP BRUNSWICK,142 DAWSON STREET,BRUNSWICK WEST,3056,VIC,-37.7700,144.9500,PETROL STATION,,BRUNSWICK WEST,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
253,BP BRUTHEN,70 MAIN STREET,BRUTHEN,3885,VIC,-37.7100,147.8300,PETROL STATION,,BRUTHEN,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
252,BP CAMPBELLFIELD,1489 SYDNEY ROAD,CAMPBELLFIELD,3061,VIC,-37.6800,144.9600,PETROL STATION,,CAMPBELLFIELD,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
148,BP CAMPERDOWN,4 THORNTON STREET,CAMPERDOWN,3260,VIC,-38.2300,143.1500,PETROL STATION,,CAMPERDOWN,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
237,BP CARLSRUHE,371 COBB AND CO ROAD,CARLSRUHE,3442,VIC,-37.2900,144.5000,PETROL STATION,,CARLSRUHE,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
223,BP CHELTENHAM,292 WARRIGAL ROAD,CHELTENHAM,3192,VIC,-37.9700,145.0700,PETROL STATION,,CHELTENHAM,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
129,BP CLAYTON SOUTH,729 HEATHERTON ROAD,CLAYTON SOUTH,3169,VIC,-37.9600,145.1400,PETROL STATION,,CLAYTON SOUTH,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
219,BP CONNECT BIRALEE,109-113 MELROSE DRIVE,WEST WODONGA,3690,VIC,-36.1300,146.8700,PETROL STATION,,WEST WODONGA,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
193,BP CONNECT CABARITA,54 MARINE PARADE,ELWOOD,3184,VIC,-37.8800,144.9800,PETROL STATION,,ELWOOD,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
211,BP CONNECT CAROLINE SPRINGS,1324-1332 WESTERN HIGHWAY,CAROLINE SPRINGS,3023,VIC,-37.7600,144.7400,PETROL STATION,,CAROLINE SPRINGS,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
179,BP CONNECT CORFORD,402-412 MELBOURNE ROAD,NORLANE,3214,VIC,-38.1000,144.3500,PETROL STATION,,NORLANE,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
233,BP CONNECT PAKENHAM,92-96 PRINCES HIGHWAY,PAKENHAM,3810,VIC,-38.0700,145.4800,PETROL STATION,,PAKENHAM,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
136,BP CONNECT SEAVIEW,2233 POINT NEPEAN ROAD,RYE,3941,VIC,-38.3700,144.8300,PETROL STATION,,RYE,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
203,BP CRAIGIEBURN,72 HANSON ROAD,CRAIGIEBURN,3064,VIC,-37.5900,144.9400,PETROL STATION,,CRAIGIEBURN,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
226,BP DAYLESFORD,143 VINCENT STREET,DAYLESFORD,3460,VIC,-37.3500,144.1400,PETROL STATION,,DAYLESFORD,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
163,BP EAST BALLAN TRAVELSTOP,6511 WESTERN FREEWAY,BALLAN,3342,VIC,-37.5900,144.2400,PETROL STATION,,BALLAN,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
235,BP EAST DONCASTER,300 BLACKBURN ROAD,DONCASTER EAST,3109,VIC,-37.7800,145.1600,PETROL STATION,,DONCASTER EAST,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
242,BP ENERGY FUEL LAVERTON,42-44 LITTLE BOUNDARY ROAD,LAVERTON NORTH,3026,VIC,-37.8200,144.8200,PETROL STATION,,LAVERTON NORTH,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
180,BP EXPRESS FRANKSTON,296-298 FRANKSTON-DANDENONG ROAD,SEAFORD,3198,VIC,-38.1200,145.1500,PETROL STATION,,SEAFORD,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
244,BP FAWKNER,1210 SYDNEY ROAD,FAWKNER,3060,VIC,-37.7100,144.9600,PETROL STATION,,FAWKNER,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
185,BP FERNHILL,555-559 STEPHENSONS ROAD,MOUNT WAVERLEY,3149,VIC,-37.9000,145.1200,PETROL STATION,,MOUNT WAVERLEY,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
47,BP FOSTER,94 MAIN STREET,FOSTER,3960,VIC,-38.6500,146.2000,PETROL STATION,,FOSTER,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
152,BP GRANTVILLE,1514 BASS HIGHWAY,GRANTVILLE,3984,VIC,-38.4100,145.5300,PETROL STATION,,GRANTVILLE,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
